Day,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016/12/21,870,870,920,850,840,990,860,1030,990,1310,1740,1900,2100,2010,2030,2200,2040,2010,2080,1850,1810,1480,1200,1180
2016/12/22,850,840,910,830,910,980,870,1020,970,1260,1830,1860,2090,1990,2000,2170,1950,2060,1790,1680,1700,1370,1280,1040
2016/12/23,850,910,830,830,870,960,900,930,950,1310,1530,1700,1910,1800,1800,2020,1770,1880,1910,1670,1510,1520,1140,1000
2016/12/26,770,810,760,810,760,840,760,960,890,1170,1700,1850,1930,2140,2090,2070,2210,1960,1900,1570,1360,1270,830,710
2016/12/27,580,510,550,490,500,690,490,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,520,510,640,620,640,570
2016/12/28,550,540,530,510,510,540,510,700,630,710,740,970,930,1070,1020,1160,1200,1090,1140,980,1000,950,840,840
2016/12/29,680,720,750,720,670,710,690,800,840,770,880,960,900,1030,1050,1060,990,1110,1060,1000,880,920,880,770
2016/12/30,780,700,730,700,780,700,740,760,780,850,830,950,890,940,1030,960,940,1090,960,1010,910,870,880,770
2017/1/2,680,680,750,660,680,730,700,720,820,750,840,800,780,870,810,800,790,900,790,850,840,770,820,720
2017/1/3,730,670,730,650,720,710,670,770,720,800,820,780,870,890,830,910,900,860,930,900,790,850,760,780
2017/1/4,730,660,720,710,710,650,740,710,780,830,810,960,960,1070,1020,1180,1070,1170,1130,1030,1030,930,850,800
2017/1/5,750,690,740,680,730,730,680,820,830,1000,1490,1410,1710,1500,1710,1700,1850,1630,1660,1530,1580,1280,1110,920
2017/1/6,810,730,810,710,790,870,1020,950,890,1140,1410,1710,1890,1830,2050,1820,2060,1780,1840,1620,1700,1390,1180,980
2017/1/9,770,820,740,740,730,730,810,780,800,900,880,980,1160,1080,1120,1230,1140,1170,1270,1090,1050,1080,970,870
2017/1/10,810,740,800,720,770,760,770,860,910,1210,1730,1990,2040,2110,2090,2070,2030,2130,1970,1880,1660,1590,1110,1040
2017/1/11,800,790,790,760,770,1030,890,900,970,1320,2040,2140,2240,2210,2480,2290,2220,2460,2150,1990,1800,1780,1260,1100
2017/1/12,860,900,840,820,810,1080,890,950,1000,1510,1840,2080,2130,2350,2310,2270,2190,2480,2110,2020,1800,1760,1220,1120
2017/1/13,890,940,870,860,830,1100,900,990,1060,1470,1830,2070,2140,2250,2430,2260,2200,2260,2220,2070,1790,1750,1220,1050
2017/1/16,780,830,770,830,760,760,840,900,1030,1320,1830,2350,2380,2440,2730,2470,2630,2480,2520,2180,2150,1790,1280,1240
2017/1/17,870,850,850,920,820,1010,950,970,1010,1570,1960,2270,2590,2380,2570,2400,2330,2340,2450,2150,1930,1950,1260,1110
2017/1/18,960,850,860,840,910,1000,900,1070,1020,1390,2060,2200,2250,2520,2330,2280,2250,2480,2090,2050,2000,1670,1350,1070
2017/1/19,910,890,830,870,820,1060,930,960,1070,1290,1820,2180,2080,2330,2160,2390,2370,2200,2240,2020,1990,1790,1210,1200
2017/1/20,850,930,820,900,840,1080,880,1060,1010,1480,1930,2180,2610,2440,2470,2710,2410,2380,2400,2020,2090,1660,1290,1190
2017/1/23,740,810,800,740,810,910,950,980,920,1360,1760,2240,2180,2310,2590,2340,2600,2330,2170,2360,1960,1790,1370,1160
2017/1/24,870,940,850,860,830,1090,920,1060,1020,1500,2090,2260,2500,2640,2410,2550,2630,2360,2410,2080,2060,1750,1410,1150
2017/1/25,960,830,910,830,880,1000,1030,970,1060,1240,1850,1930,2260,2080,2300,2170,2320,2200,2220,1990,1850,1860,1270,1260
2017/1/26,890,950,850,950,850,1000,1050,960,1100,1290,1900,1990,2300,2210,2490,2340,2150,2380,2090,2220,1810,1820,1260,1160
2017/1/27,1000,890,990,870,960,1060,920,1110,1060,1440,1860,2290,2170,2440,2190,2250,2070,2220,1920,1990,1700,1530,1350,1070
2017/1/30,810,810,820,880,790,800,820,910,970,1320,1540,1860,1980,2140,1990,1970,2140,1950,1940,1820,1620,1690,1200,1090
2017/1/31,880,930,840,850,840,1100,880,950,990,1370,1760,2000,2340,2170,2230,2250,2340,2190,2040,1940,1930,1620,1230,1110
2017/2/1,900,960,880,870,830,1110,880,970,1010,1270,1920,2040,2220,2240,2280,2210,2340,2130,2040,1950,1870,1540,1270,1140
2017/2/2,890,860,940,850,870,1030,930,1000,1050,1410,1710,1950,2270,2070,2120,2390,2240,2170,2200,1880,1680,1590,1340,1130
2017/2/3,900,940,880,850,940,1000,890,1040,1000,1250,1870,1880,1960,2200,2040,2000,2190,1980,1910,1990,1650,1740,1180,1110
