year,No.,gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
24,112,m,1,4,2,4,1,1,4,1,5,1,1,4,1,3,5,5,5,5,5,5,1,5,5,1,1,1,5,1
24,113,m,5,5,3,3,4,3,5,5,3,3,5,5,5,5,5,2,5,2,4,5,4,3,1,1,3,1,1,1
24,114,m,3,4,2,1,4,4,4,4,2,1,3,4,4,2,2,2,3,1,4,4,3,2,3,4,4,2,3,2
24,115,m,4,4,1,1,3,1,4,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2
24,116,m,5,1,1,1,4,4,1,3,3,4,3,3,3,3,2,2,4,3,4,3,3,3,2,2,3,3,3,3
24,117,m,4,4,4,3,5,4,3,4,4,4,5,4,5,4,2,3,3,2,3,3,2,3,3,3,3,3,4,3
24,118,f,5,5,1,5,3,2,5,5,3,4,3,4,3,1,1,1,1,1,4,4,4,1,2,1,2,1,2,1
24,119,m,2,1,2,1,2,1,1,1,3,2,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2
24,120,m,4,4,1,2,3,4,2,4,1,4,4,4,4,4,4,2,3,4,4,2,4,4,2,2,5,1,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
